,Content,Important
10,"Richard:

Thanks for the info.  I'll send it overnight to her and will copy you on my correspondence (with a copy of our comments).

Marie

 -----Original Message-----
From: 	Friedman, Richard  
Sent:	Monday, October 22, 2001 11:08 AM
To:	Heard, Marie
Subject:	RE: American Airlines ISDA

Contact for the ISDA with AA is Geraldine Lim. The address:

PO Box 619616
Mail Drop 5662
DFW Airport, TX  75261-9616

Express Delivery:

4333 Amon Carter Blvd
MNail Drop 5662
Ft. Worth, TX 76155

Phone 817-967-9209
Fax  817-967-4318

Sounds great. Thanks for the update - while we are on credit watch, at least we can get these type of items taken care of.

 -----Original Message-----
From: 	Heard, Marie  
Sent:	Monday, October 22, 2001 11:01 AM
To:	Friedman, Richard
Subject:	FW: American Airlines ISDA

Richard:

As you can see below, I just replied to Mark instead of forwarding to you.  Credit is not throwing you off.  They did send a revised worksheet.  I have turned around comments and they have been reviewed by a lawyer.  I have completed finalizing the comments, but since AA sent their agreement in pdf (which cannot be edited), I have had to turn around a hard copy of our comments.  Can you give me a physical address where I can overnight our comments?

Thanks!

Marie

 -----Original Message-----
From: 	Heard, Marie  
Sent:	Monday, October 22, 2001 9:20 AM
To:	Taylor, Mark E (Legal)
Subject:	RE: American Airlines ISDA

Richard:

Credit is not throwing you off.  They did send a revised worksheet.  I turned around comments and they have been reviewed by a lawyer.  I am working on finalizing our comments to send back to AA today.

Marie

 -----Original Message-----
From: 	Taylor, Mark E (Legal)  
Sent:	Monday, October 22, 2001 9:15 AM
To:	Heard, Marie
Subject:	FW: American Airlines ISDA

Marie - can you please check on this and let Richard know where we stand.  Thanks!

 -----Original Message-----
From: 	Friedman, Richard  
Sent:	Friday, October 19, 2001 4:02 PM
To:	Taylor, Mark E (Legal)
Subject:	American Airlines ISDA

According to credit, the AA ISDA worksheet was sent back to legal last week. Have you seen it or are they throwing me off?

Rich Friedman
Enron Global Markets LLC
richard.friedman@enron.com
713-853-5137",0.0
11,"Dear Enron's topmanagement,
We are not only concerned on the crashed stock but also Enron's
situation in Japan. The business here is too difficult!!!
How do you know the current situation here:

  > Bad Reputation in Japan - if you say you are from Enron people will say 
""No""
  > Ignorance of Japanese Business - wasting many time on TOCOM, a market
    controlled by mafia, those minor comnies want to cheat Enron's money
  > Unsatisfactory business environment - deregulation will not proceed in 
three
    years
  > Poor manegment - the office is like a kindergarden, the so called 
""experts""
    have serious discrimmination with local staff; They do nothing 
themselves just
    ask the local ""slave"" to work hard and they go to vacation or business 
trip
  > ""Sato"" means sweet in Japanese but Sato Project is not so sweet as you 
think!
    Have you expected another ""E-power""?

I have to say we are so dispointed with Enron!!!! Enron Japan is at the 
entrance
of ""Bermuda Triangle"", we worry when will it dispear?

Sato
Enron Japan

_________________________________________________________________
Get your FREE download of MSN Explorer at http://explorer.msn.com/intl.asp",1.0
12,"FYI
---------------------- Forwarded by Sara Shackleton/HOU/ECT on 11/05/99 02:33 
PM ---------------------------


Brent Hendry@ENRON_DEVELOPMENT
11/05/99 01:06 PM
To: Sara Shackleton@ENRON_DEVELOPMENT
cc:  
Subject: Duke claim against Enron

FYI
---------------------- Forwarded by Brent Hendry/ENRON_DEVELOPMENT on 
05/11/99 04:06 PM ---------------------------


Don Black
05/11/99 06:42 PM
To: Randy Young/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Richard B Sanders@ECT, 
Greg Whalley@ECT, Brent Hendry/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT
cc:  
Subject: Duke claim against Enron

Although no formal notice has been rec'd from Duke, They have informed me 
verbally that they do not intend to proceed with any claims against us.  If 
you need any details please call me in BA or send me an email with your 
contact instructions.  Given the nature of this topic I would prefer to 
discuss my thoughts on the subject in person, if necessary.  Thanks for 
everyone's help, and I apologise for any inconvenience.


",1.0
13,"Ed

This stuff looks good.

Why don't you combine all your stuff, maybe include the org chart also and 
see if we can get a 3 or 4 page report.  Send it to me and I'll run if by 
Dave.",0.0
14,"
Third Set of DataRequests ofCalifornia Parties to Reliant.  Hard copies are being sent to the restricted service list.
 
Joseph H. Fagan 
ATTORNEY 
HellerEhrman 
tel.:  202.912.2162 
fax:  202.912.2020 
e-mail:  jfagan@hewm.com 
web:  http://www.hewm.com
 - Third Set - Reliant - Gas.rtf 
 - 3rd Set to reliant - Transmitt.rtf ",0.0
15,"****NEW -- priceline.com announces FREE long distance!*****
Get 60 FREE long distance minutes when you buy 60 minutes
or more.  That's one hour of long distance calling to
anywhere in the U.S., absolutely FREE! Click here now:
http://www.priceline.com/promo/buy60.asp
***********************************************************
Dear MATHEW D SMITH,

We have an answer for you regarding your hotel request!

Please click on the link below for all the details:
http://www.priceline.com/hotels/checkstatus/default.asp?id=31291788209

If you wish, you can also go to the priceline.com home page and select ""Hotel Rooms"" in the
""Check Previous Request"" area to get your answer.  Use the hotel request number below to sign in.

Your Priceline Hotel Request Number:  31291788209

Thanks for using priceline.com!  If you have any trouble using the special link above,
please call us toll free at 1-800-657-9168 for assistance.

Sincerely,

priceline.com Customer Service

***************************************************************
Save up to 20% or more on your rental car! You'll get the
type of car you want with unlimited mileage from one of the
top 5 name-brand car rental companies. Click here now:
http://www.priceline.com/RentalCars/itinerary.asp

***************************************************************",0.0
16,"Chris,

My part has not changed for some time (since early July).

I sent  the last vintage of corrections  to you when I was in Sydney.
You can send the version you consider final to us just to double check.

I took the liberty of sending our chapter to Darrell Duffie and he liked it.
What is more important he did not find any error.


I shell send you my comments on the article for Robin in a day or so.

Vince






""Chris Strickland"" <chris@lacima.co.uk> on 08/28/2000 02:55:31 PM
Please respond to ""Chris Strickland"" <chris@lacima.co.uk>
To: <vince.j.kaminski@enron.com>, <grant.masson@enron.com>
cc:  
Subject: Chapter



Hi Vince,
?
How are things with you? Well I hope. Do you have  the latest version of your 
part of chapter 3? (I think GRant has sent thru a  seperate, updated version 
to you, which has been typeset). Everything else has  been tied up and we 
will go with the version we have, unless we hear  otherwise.
?
Many thanks and best regards.
?
Chris.
?

",0.0
17,"Great!  The Met has 3 hour free parking - use the ""yellow entrance""  to the 
Allen Center (located on the far side of the parking garage, next to all the 
open air parking lots) and follow the signs for Met parking (off to the 
right).  Met is on the 6th floor.  I can meet anytime around lunch - I'll go 
ahead and get court for 11:30, but if you want to meet later, that would be 
fine - just let me know.  Looking forward to playing.",1.0
18,"This is a very good synopsis of the gas crimes trials in California.  Pleas=
e=20
note comments of Assembly Republican John Campbell---perhaps the sole brigh=
t=20
spot in the California Legislature...

Competing evidence clouds Calif. investigation

Prompted in part by the California Public Utilities Commission, the=20
California Assembly
has been scrutinizing the role that interstate pipelines have played in the=
=20
state=01,s current
energy crisis. In the efforts to find a smoking gun, legislators have leane=
d=20
heavily on a
report prepared by The Brattle Group, a consultancy commissioned by utility=
=20
Southern California
Edison to dig up evidence of market power abuse.

But the state=01,s biggest transporter of gas to California -- El Paso Natu=
ral=20
Gas -- is not
ready to take the rap. The pipeline has commissioned its own study, which i=
t=20
recently presented
as evidence that it has not circumvented any laws or regulation.

As reported in both the trade press and national media, SoCal Ed and the CP=
UC=20
are pointing
the finger of blame at El Paso for alleged manipulation of California borde=
r=20
prices through
affiliate deals and capacity hoarding. And exhibit A in their case against =
El=20
Paso is The Brattle
Group=01,s study of the California market.

Richard Zeiger, a spokesman for Assembly Member Darrell Steinberg, chairman=
=20
of the
California Assembly Judiciary Committee, told Gas Daily that The Brattle=20
Group=01,s market
study proved that the surge in gas prices at the California border was not=
=20
caused by normal
market forces (GD 4/20). His remarks followed an oversight hearing during=
=20
which Assembly
members questioned Dynegy and El Paso officials about their involvement in=
=20
the California
market.

El Paso presented a different version of events to the Assembly. In a repor=
t=20
presented to
legislators, a research group hired by El Paso concluded that a convergence=
=20
of factors, not a
conspiracy, caused the price run-up.

Lukens Consulting Group, a Houston-based consultancy, was retained by El Pa=
so=20
to conduct
work on several fronts. In its study of the California market, Lukens=20
concluded that the
increasing convergence of the gas and electricity businesses was one of the=
=20
main culprits in the
California gas price imbroglio.

Assemblyman John Campbell, a Republican member of the oversight committee,=
=20
said he
""didn=01,t see any smoking gun"" in either report.

""We had our committee hearing, and we certainly had a lot on the Brattle=20
Study and a little
on the Lukens study. To some degree, I=01,m not sure that the California=20
legislature is the best
place to adjudicate the differences between these two studies,"" Campbell=20
said. ""I believe FERC
is looking at this situation "" and it would seem to me that that=01,s the=
=20
appropriate place.""

Campbell said that the CPUC had been prodding the California legislature to=
=20
give support
to its claims of market power abuse by pipelines. ""It=01,s being pushed=20
basically by the Public
Utilities Commission here, which believes that there was collusion"" by=20
pipeline companies to
push up gas prices in California, he said.

The CPUC, Campbell suggested, sought satisfaction before the California=20
assembly when
it had failed on the federal level: ""There=01,s a concerted effort, not jus=
t on=20
natural gas but on other
things here in California, for entities and organizations here to point the=
=20
finger elsewhere for
the problems that we=01,re having in this state and I think you=01,re seein=
g some=20
of that with the
public utilities commission.""

Whether either report wins over the public incensed by high natural gas=20
prices is a different
matter entirely. In the meanwhile, the dueling California market studies se=
em=20
to have taken
on a life of their own.

The Brattle Group Study, for instance, has become the center of a heavily=
=20
litigated effort to
force FERC to compel the release of market data by California market=20
participants. Following
on a request by SoCal Ed, which said it needed additional data to round out=
=20
The Brattle Group
report, FERC Chief ALJ Curtis Wagner issued subpoenas to the other three=20
major pipelines that
serve the state as well as to Sempra Energy Trading.

Several parties resisted FERC=01,s call for market information, saying the=
=20
requested data
contained commercially sensitive information. FERC allowed the discovery=20
process to move
forward but only after attaching strict data protection rules restricting=
=20
access to evidence
(GD 4/23).

Critics of the pipeline industry have already suffered one setback in their=
=20
case. The commission
recently dismissed the CPUC=01,s claim that El Paso rigged the auction of a=
=20
large block of
pipeline capacity in favor of affiliate El Paso Merchant Energy. In=20
addressing the California
Assembly, representatives of Dynegy said that FERC=01,s recent ruling on th=
e=20
California border
controversy obviated the need for more investigation.

The controversy, however, is far from over. FERC last month also ordered a=
=20
hearing into
whether El Paso Natural Gas and its affiliates manipulated capacity to driv=
e=20
up the price of gas
delivered into California (GD 3/29). That hearing is likely to take place=
=20
this summer. (RP00-
241, et al.) NH





=09Rob Bradley
=0904/25/2001 09:13 AM
=09=09
=09=09 To: Jeff Dasovich/NA/Enron@Enron
=09=09 cc: Alan Comnes/PDX/ECT@ECT, James D Steffes/NA/Enron@Enron, Janel=
=20
Guerrero/Corp/Enron@Enron, Jeff Dasovich/NA/Enron@Enron, Joe=20
Hartsoe/Corp/Enron@Enron, Karen Denne/Corp/Enron@Enron, Leslie=20
Lawner/NA/Enron@Enron, Paul Kaufman/PDX/ECT@ECT, Richard=20
Shapiro/NA/Enron@Enron, Sandra McCubbin/NA/Enron@Enron, skean@enron.com,=20
Susan J Mara/NA/Enron@Enron
=09=09 Subject: Re: Some Background on California Gas Price Spikes--The Oth=
er Side=20
of the Story

Here is the Q&A I will give to Ken on this topic, and I invite any=20
improvements:

Question: ""What is your opinion about the study of the Brattle Group (Dr.=
=20
Paul Carpenter) that market power exercised by El Paso and Dynegy exacerbat=
ed=20
the natural gas price spike at the California border that contributed to th=
e=20
electricity price spike.""

Answer:  ""I always discount conspiracy theories when prices rise or fall an=
d=20
believe fundamental forces of supply and demand explain prices in this=20
instance.  I will say, however, that the transmission grid must be more ope=
n=20
and transparent to improve everyone's confidence in the economics behind=20
price formation.  Long term contracting in the wholesale commodity market=
=20
should also reduce speculation about price manipulation.""

- Rob





=09Jeff Dasovich
=09Sent by: Jeff Dasovich
=0904/24/2001 06:57 PM
=09=09=20
=09=09 To: Richard Shapiro/NA/Enron@Enron, skean@enron.com, James D=20
Steffes/NA/Enron@Enron, Paul Kaufman/PDX/ECT@ECT, Leslie=20
Lawner/NA/Enron@Enron, Joe Hartsoe/Corp/Enron@ENRON, Rob=20
Bradley/Corp/Enron@ENRON, Janel Guerrero/Corp/Enron@Enron, Karen=20
Denne/Corp/Enron@ENRON, Alan Comnes/PDX/ECT@ECT, Sandra=20
McCubbin/NA/Enron@Enron, Susan J Mara/NA/Enron@ENRON
=09=09 cc:=20
=09=09 Subject: Some Background on California Gas Price Spikes--The Other S=
ide of=20
the Story

Last week, I distributed a presentation that the Brattle Group gave before=
=20
the California Inquisition (i.e., legislative gas oversight committee looki=
ng=20
into the gas price spikes at the Cal border). =20

The Brattle Group is a consulting firm that Edison has long used to beat up=
=20
on SoCalGas (recall that Edison used to be a big gas customer when it owned=
=20
power plants).  Edison ""arranged"" for the Brattle Group to be the star=20
witness at the Cal Leg gas hearing.  Their job was to set up El Paso and=20
Dynegy for the hit at hearings that took place the following day.  Their=20
message was simple (and simplistic):

El Paso and Dynegy have market power.
They have used the market power to drive up basis and thus the price of gas=
=20
at the border (to ""obscene"" levels).
That, in turn, has driven up electricity prices.

Ken Lay is giving a gas talk tomorrow, and Rob Bradley asked that I provide=
=20
the alternative view to the Edison/Brattle rant, in the event that he gets=
=20
any questions on the topic.  It's attached.  Apologies, it's quick and dirt=
y,=20
but it provides the basics.

Obviously no need for us to defend El Paso or Dynegy, but might be useful t=
o=20
offer a more rationale explanation than the one that the California=20
Legislature is peddling.

Finally, we were also fingered somewhat as culprits at the hearing (the=20
California PUC FERC lawyer claimed that ENA and TW colluded to drive up bas=
is=20
when ENA controlled a portion of  the capacity), but the overriding goal of=
=20
the hearing was to go after EP and Dynegy.

Best,
Jeff






",0.0
19,"Dear Power Outage Database Customer,

Attached you will find an excel document. The outage contained within is
a rescheduled outage. Your daily delivery will still contain this
outage.

In addition to the excel document, there is a dbf file that is formatted
like your daily delivery you receive nightly. This will enable you to
load the data into your regular database. Any questions please let me
know. Thanks.

Greg Elliott
IIR, Inc.
713-783-5147 x 3481
outages@industrialinfo.com

THE INFORMATION CONTAINED IN THIS E-MAIL IS LEGALLY PRIVILEGED AND
CONFIDENTIAL INFORMATION INTENDED ONLY FOR THE USE OF THE INDIVIDUAL OR
ENTITY NAMED ABOVE.  YOU ARE HEREBY NOTIFIED THAT ANY DISSEMINATION,
DISTRIBUTION, OR COPY OF THIS E-MAIL TO UNAUTHORIZED ENTITIES IS
STRICTLY PROHIBITED. IF YOU HAVE RECEIVED THIS E-MAIL IN ERROR, PLEASE
DELETE IT.

 - OUTAGE.dbf 
 - 102601R.xls ",0.0
20,"To all subcommittee members:

    Attached is the final draft which is being sent to TMOS for
approval.  Because the participants voted 7 to 3 to keep sections 5.2
and 5.3 as they are currently drafted, no changes were made to those
sections.  I reviewed and used most of TXU's and Southern's edits
regarding typos and clarification, which I appreciate.  If you would
like to see the changes, then go to Track Changes and highlight on
screen.

    Thank you all for your help. Hopefully this agreement will be
approved at TMOS and then TAC.  I will (or Naim) will keep you apprised.

Margaret Pemberton

 - ERCOT WHOLESALE ENABLING AGREEMENT Draft ten.doc",0.0
21,"The Resolution Center will be decommissioning one of its 888 numbers (888-877-7757) as of January 7, 2002.
You can continue to contact the Resolution Center, Toll Free, by using the following steps: 
To contact the ENW IT Resolution Center:
? Call 1-800-973-6766 (1-800-97-ENRON)
? Select 1 to transfer to an extension within the Enron Building
? Select 31411 and you will be transferred to the helpdesk.
The following options are also available through the toll-free number:
0: Connect to voice directory
1: Transfer to an extension in the Enron building
2: Access voicemail in the Enron building
3: Transfer to 3 Allen Center
4: Transfer to Omaha
5: Transfer modem or fax with 646 prefix
6: Speak to an Enron operator
7: Transfer to a fax machine in the message center
8: Transfer to Aviation
9: Leave a confidential message for Enron Chairman
Please contact the Resolution Center at 3-1411 for assistance
    
ETS customers should continue to contact the ETS Solution Center-Houston at 713-345-4745 or 888-465-4745, and the ETS Solution Center-Omaha at 402-398-7454.
 ",0.0
22,"I will be able to interview at either time.  I selected the late time on the 
email, but wanted to respond to make sure you received it.

DG
---------------------- Forwarded by Darron C Giron/HOU/ECT on 02/09/2001 
10:45 AM ---------------------------
   
	Enron North America Corp.
	
	From:  Andrea Richards @ ENRON                           02/09/2001 10:35 AM
	

To: Darron C Giron/HOU/ECT@ECT, David Baumbach/HOU/ECT@ECT
cc: Jana Giovannini/HOU/ECT@ECT 
Subject: Analyst Interviews Needed - 2/15/01

Darron, David, please respond to Jana in regards to the times that you will 
be available to interview candidates.
---------------------- Forwarded by Andrea Richards/NA/Enron on 02/09/2001 
10:41 AM ---------------------------
   
	Enron North America Corp.
	
	From:  Jana Giovannini @ ECT                           01/25/2001 01:42 PM
	

To: John Cobb/FGT/Enron@ENRON, Bob Chandler/ET&S/Enron@ENRON, James 
Saunders/Houston/Eott@Eott, Jennifer Lev/FGT/Enron@ENRON, Lisa 
Sutton/FGT/Enron@ENRON, Susan Helton/HOU/ECT@ECT, Georgeanne 
Hodges/HOU/ECT@ECT, Faith Killen/HOU/ECT@ECT, Greg Whiting/Corp/Enron@ENRON, 
Sayed Khoja/NA/Enron, Mary Lynne Ruffer/HOU/EES@EES, Jody Pierce/HOU/ECT@ECT, 
Thomas Myers/HOU/ECT
cc: Shelly Butler/HOU/ECT@ECT, Andrea Richards/NA/Enron@Enron 

Subject: Analyst Interviews Needed - 2/15/01



	

All,

The Analyst and Associate Programs recognize we have many Analyst needs that 
need to be addressed immediately.  While we anticipate many new Analysts 
joining Enron this summer (late May) and fulltime (August) we felt it 
necessary to address some of the immediate needs with an Off-Cycle Recruiting 
event.  We are planning this event for Thursday, February 15 and are inviting 
approximately 30 candidates to be interviewed.  I am asking that you forward 
this note to any potential interviewers (Managers or above).  We will conduct 
first round interviews in the morning and the second round interviews in the 
afternoon.  We need for interviewers to commit either to the morning 
(9am-12pm) or afternoon (2pm-5pm) complete session.  Please submit your 
response using the buttons below and update your calendar for this date.  If 
you are currently on the new Outlook program, you may not be able to use the 
buttons below.  In that instance, please contact me at x39233 to volunteer.  

In addition, we have a need within one of Enron's business units for 
accounting majors.  We will be bringing several people in to interview with 
accounting backgrounds.  We will then make sure that the schedule will be set 
so you would interview these specific candidates.  We would greatly 
appreciate your assistance in this effort.  Thanks in advance for your 
cooperation.

  


Thank you,
Jana






",1.0
23,"Yes--I just need the part that deals with that guy's attempt to jack up the 
price of the power line or plant before selling it to Mon. Power.  Thakks.  DF




Kathy Ringblom
02/11/2000 10:38 AM
To: Drew Fossum/ET&S/Enron@ENRON
cc:  

Subject: Re:  

I found an old (1945), long FPC case, ""In the Matter of the Montana Power 
Company"", that deals with Montana Power's reclassification as a public 
utility -  this is one of the few mentions of the Milwaukee railroad:

n38 The witness was also vague when asked to consider a hypothetical case 
similar to that in which John D.
   Ryan, as a director of the Milwaukee Railroad, purchased the Thompson 
Falls power site for $950,000 and
   immediately turned it over to a corporation, which he had caused to be 
organized for that purpose, for
   $5,000,000 par value of its stock. When asked whether, as auditor for the 
railroad, he would ... 


Does this sound like the right case? 


",1.0
24,"Tracy:

Will you handle this?

Thanks!

Marie

 -----Original Message-----
From: 	Weisser, Jim  
Sent:	Wednesday, June 20, 2001 8:01 PM
To:	Heard, Marie
Cc:	Cohagan, Fred
Subject:	Current master

Howdy Marie,

I don't believe that we met when I was in Houston in February, but my name is Jim Weisser, and I'm with EBS Japan. I'm working on a couple of different counterparties to get a basic understanding of the master, and how it will operate, and I was wondering if you could help me out.

Could I please receive a copy of the current master, broken up a similar fashion as before? We previously had the credit support annex, the confirm and the master as three separate documents. Also, if it's possible to get it in word form (for me to make comments on, but not to distribute--little stuff mainly) as well as PDF, that would be fantastic.


Regards,

Jim Weisser
Enron Broadband Services Japan
vox: 03-5219-4754/+81-3-5219-4754
fax: 03-5219-4510/+81-3-5219-4510",1.0
25,"---------------------- Forwarded by James Derrick/Corp/Enron on 12/12/2000=
=20
05:46 PM ---------------------------


krchoi@sk-enron.com on 12/12/2000 03:23:29 AM
To: chochais@sk-enron.com, dkinder1@enron.com, jjyu@skcorp.com,=20
lee4009@skcorp.com, ykykim@skcorp.com, James.A.Hughes@enron.com,=20
James.Derrick@enron.com, Christopher.B.Hunt@enron.com
cc: adorazi@enron.com, jhkim@sk-enron.com, rtio@enron.com,=20
yhmoon@sk-enron.com, solee@sk-enron.com, yspark@sk-enron.com,=20
sjhwang@skcorp.com, Bonnie.Nelson@enron.com, sdk@sk-enron.com,=20
david.lam@sk-enron.com, jssuh@sk-enron.com=20

Subject: SK-Enron BOD meeting





Choi Kap Ryong/HR & Admin Team
2000-12-12 05:07 PM
=11?I 789-6764



Dear Directors and Auditors:

We would like to rearrange the next BOD meeting schedule.
As you know, the BOD decided to have the next BOD meeting on Feb. 8th, 2001=
.
However, we think it is difficult to have the next BOD meeting on that date
because of preparation of financial statement.
Please understand that subsidiaries' financial statement should be=20
consolidated
prior to SK-Enron's financial statement and this process is our main concer=
n.
Considering this situation, we suggest to have the next BOD Meeting at 2pm =
on
Feb. 20th, 2001. in Houston.
And meeting place in Houston will be notified you when it is determined.
If you are uncomfortable with this schedule,
please let us know so that we can arrange it again.

Sincerely yours,

K.R.Choi


",0.0
26, - OpeningBrief.doc,0.0
